release ver.,Mnewman,Mbunch,Mg&g,Mrcc,BCF,IC ,AC,TLOC,QDI,MI
google web toolkit 1.3,0.558210373,0.740261031,0.085333882,0.999553966,0.964309036,0.673428225,0.80034611,2414,8.3,154
google web toolkit 1.4,0.526163211,0.709010038,0.07671228,0.999634,0.95059426,0.654873754,0.855417303,2069,9.4,155.3
google web toolkit 1.5,0.509594592,0.664269018,0.070969203,0.999736,0.876420045,0.643704934,0.883576347,2087,10.2,154.81
google web toolkit 1.6,0.506019412,0.648679683,0.070440668,0.999792574,0.874142556,0.642829227,0.891808705,8267,9.3,155.91
google web toolkit 1.7,0.505766906,0.627182958,0.061953022,0.99979213,0.874142556,0.642829227,0.891807404,8367,17,155.91
google web toolkit 2.0,0.48380626,0.58745815,0.04135505,0.99984,0.887381594,0.619220351,0.897380055,16467,9.9,154.71
google web toolkit 2.1,0.443979589,0.58137372,0.018936457,0.9999098,0.907091128,0.635251217,0.924143055,24012,8.4,153.87
google web toolkit 2.2,0.449708214,0.491309284,0.03148437,0.999908661,0.90616821,0.634400472,0.928154353,25074,9.6,149.59
google web toolkit 2.3,0.425156771,0.487604883,0.127581289,0.99992437,0.905816215,0.627691682,0.933854989,26456,9.9,148.84
google web toolkit 2.4,0.439366875,0.559000592,0.031266857,0.999927924,0.915217067,0.620645611,0.938930085,26084,8.9,150.61
google web toolkit 2.5,0.449931551,0.547603861,0.025805443,0.999944498,0.917768326,0.612047771,0.944033336,27729,9.2,152.06
